ZIP Code,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors
71450,97.2,23.8,97.2,23.8,100.0,0.0,-,-,-,-,-,-,93.3,0.0
71452,100.0,0.0,100.0,0.0,95.8,91.7,-,-,-,-,-,-,100.0,0.0
71454,75.4,13.1,75.3,13.1,89.8,4.7,-,-,-,-,-,-,100.0,0.0
71455,100.0,0.0,100.0,0.0,-,-,-,-,-,-,-,-,-,-
71456,100.0,26.2,100.0,24.8,79.8,39.5,100.0,100.0,-,-,-,-,100.0,71.4
71457,94.7,39.4,94.7,39.4,84.5,11.1,95.4,56.9,100.0,85.0,-,-,88.0,13.2
71459,95.4,27.4,96.6,28.9,100.0,29.4,57.1,0.0,100.0,28.1,-,-,85.8,2.3
71461,88.7,16.1,90.5,15.0,89.7,17.9,100.0,0.0,43.4,1.9,100.0,0.0,84.6,15.4
71462,79.6,5.2,80.7,5.3,100.0,0.0,79.8,7.9,100.0,0.0,-,-,100.0,0.0
71463,75.5,11.8,76.1,13.7,83.6,9.2,78.4,0.0,61.5,0.0,-,-,92.0,10.3
71465,87.4,17.9,87.4,17.9,100.0,0.0,-,-,-,-,0.0,0.0,-,-
71466,71.5,0.0,71.5,0.0,-,-,-,-,-,-,-,-,-,-
71467,81.5,11.2,85.0,13.3,68.7,1.4,77.6,0.0,100.0,28.2,-,-,71.0,7.3
71468,67.6,22.2,67.6,22.2,100.0,0.0,-,-,-,-,-,-,-,-
71469,85.6,13.7,88.2,14.3,68.9,7.8,93.7,4.8,-,-,-,-,60.0,0.0
71472,98.0,0.0,98.0,0.0,-,-,-,-,100.0,0.0,-,-,-,-
71473,94.6,5.2,94.6,5.2,-,-,0.0,0.0,-,-,-,-,-,-
71474,90.2,7.8,89.8,8.1,-,-,-,-,100.0,100.0,-,-,-,-
71475,100.0,100.0,100.0,100.0,-,-,-,-,-,-,-,-,-,-
71479,81.3,14.7,81.3,14.7,43.8,0.0,-,-,100.0,100.0,-,-,-,-
71480,76.6,9.7,76.6,9.8,41.5,1.9,47.4,0.0,-,-,-,-,0.0,0.0
