STATE,COUNTYNAME,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic,hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,County,State,MUAP_counts
Tennessee,Roane County,88.31,21.16,88.97,21.17,88.62222222222222,12.544444444444444,75.0,4.119999999999999,91.73333333333333,42.36666666666667,100.0,0.0,76.30000000000001,12.122222222222222,50.19,44.96666666666667,49.32,47.47777777777778,0.0,69.33333333333333,49.82,5.32,12.175,16.66,0.0,,0.3875,5.42,118628.0,11966.0,3978.0,604.0,1599.0,53.0,449.0,41.0,57.0,19.0,1321.0,536.0,Roane County,Tennessee,1.0
West Virginia,Roane County,86.06153846153846,16.03076923076923,85.96923076923076,15.86923076923077,93.93333333333334,33.333333333333336,100.0,0.0,100.0,84.6,,,50.0,0.0,41.56153846153846,90.16666666666667,50.0,44.8,,50.0,41.684615384615384,7.415384615384616,0.0,0.0,0.0,,0.0,6.953846153846154,27745.0,2066.0,52.0,35.0,51.0,0.0,22.0,0.0,0.0,0.0,59.0,0.0,Roane County,West Virginia,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roanoke City,Virginia,22.0
Virginia,Roanoke County,93.26666666666667,34.519999999999996,93.43333333333334,34.67333333333333,92.10000000000001,16.375,72.92857142857143,36.41428571428571,86.51111111111112,56.46666666666667,100.0,66.66666666666667,83.28999999999999,10.64,56.38666666666666,59.96153846153846,52.175,60.870000000000005,72.47999999999999,77.2909090909091,56.306666666666665,3.2266666666666666,11.808333333333332,13.183333333333332,12.28,0.0,0.9727272727272727,3.2266666666666666,169127.0,9930.0,14260.0,1643.0,5182.0,947.0,331.0,0.0,121.0,6.0,1393.0,835.0,,,
Virginia,Roanoke city,91.45,36.260000000000005,91.81,36.47,89.55,20.509999999999998,60.525,34.2875,79.13333333333334,54.56666666666667,100.0,50.0,87.97,28.810000000000002,61.21999999999999,69.22999999999999,61.7625,64.6,100.0,70.92999999999999,60.96,4.88,5.32,0.0,3.4444444444444446,0.0,3.02,4.970000000000001,127590.0,8926.0,30355.0,3651.0,5587.0,981.0,316.0,0.0,89.0,0.0,1212.0,554.0,,,
South Dakota,Roberts County,90.8,22.82857142857143,91.23571428571428,23.02857142857143,100.0,39.3,78.45555555555556,8.211111111111112,100.0,53.339999999999996,,,87.9,25.575,58.80714285714286,25.53333333333333,43.53333333333333,37.339999999999996,,52.225,59.05714285714286,3.6999999999999997,0.0,12.8375,0.0,,0.0,3.7214285714285715,11203.0,964.0,47.0,0.0,24.0,0.0,2784.0,1756.0,0.0,0.0,414.0,232.0,Roberts County,South Dakota,1.0
Texas,Roberts County,82.875,17.85,92.85,20.4,54.833333333333336,0.6333333333333333,78.63333333333334,28.13333333333333,65.13333333333334,28.5,,,52.06666666666666,7.733333333333333,61.125,25.96666666666667,87.86666666666667,44.06666666666666,,70.96666666666665,61.0,4.275,4.2,0.0,0.0,,0.26666666666666666,1.725,20666.0,4635.0,533.0,173.0,251.0,23.0,260.0,173.0,57.0,0.0,1716.0,709.0,,,
Kentucky,Robertson County,84.68333333333334,15.583333333333334,84.73333333333333,15.583333333333334,96.22,13.62,100.0,0.0,100.0,0.0,,,38.225,0.0,54.26666666666667,34.3,0.0,100.0,,75.0,54.26666666666667,5.833333333333333,11.1,,0.0,,0.0,5.833333333333333,25084.0,1363.0,493.0,8.0,25.0,11.0,20.0,0.0,19.0,0.0,118.0,36.0,Robertson County,Kentucky,1.0
Tennessee,Robertson County,89.57692307692308,24.376923076923074,89.74615384615385,24.361538461538462,87.93846153846154,19.484615384615385,79.6,11.2375,83.96000000000001,46.56,100.0,33.333333333333336,63.41818181818182,8.409090909090908,62.06923076923077,64.87692307692308,53.95,47.5,78.34,66.01818181818182,62.06923076923077,4.230769230769231,9.084615384615386,1.7857142857142858,8.0,0.0,7.127272727272728,4.115384615384615,158091.0,12660.0,14576.0,967.0,2776.0,219.0,397.0,19.0,138.0,39.0,3911.0,1848.0,Robertson County,Tennessee,1.0
Texas,Robertson County,89.02727272727272,18.254545454545454,86.7909090909091,17.027272727272727,83.84444444444445,11.600000000000001,77.6,50.0,75.84,50.3,100.0,27.8,45.84285714285714,3.9714285714285715,53.42727272727273,39.611111111111114,57.779999999999994,43.7,72.2,63.785714285714285,48.09090909090909,4.045454545454546,12.755555555555556,0.0,16.55,0.0,0.0,4.529999999999999,30677.0,5198.0,4966.0,941.0,726.0,148.0,335.0,0.0,52.0,0.0,843.0,295.0,Robertson County,Texas,1.0
