hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,ZIP Code
267,33,26,0,0,5,12,0,0,0,7,0,49927
209,0,0,0,0,0,10,0,0,0,0,0,49929
5992,555,23,3,86,10,13,0,0,0,11,11,49930
7909,501,218,69,739,28,74,0,10,0,285,15,49931
692,11,5,0,10,0,0,0,0,0,0,0,49934
5202,359,19,0,44,0,42,11,0,0,18,4,49935
6740,392,40,0,39,0,61,0,37,0,10,31,49938
39,30,0,0,0,0,0,0,0,0,0,0,49942
2626,127,2,0,4,0,10,0,0,0,22,0,49945
2907,164,13,0,26,0,377,25,0,0,0,0,49946
503,14,0,0,3,0,62,0,6,0,2,0,49947
540,22,5,0,0,0,0,0,0,0,0,0,49948
909,21,0,0,0,0,8,0,0,0,0,0,49950
85,43,0,0,0,0,0,0,0,0,0,0,49952
2063,89,0,2,17,0,1,0,0,0,0,5,49953
425,0,18,0,0,0,0,0,0,0,0,0,49955
738,60,0,0,0,0,0,0,0,0,0,0,49958
265,5,51,0,0,0,0,0,0,0,14,0,49959
191,30,0,0,0,0,0,0,0,0,0,0,49960
127,12,0,0,0,0,0,0,0,0,0,0,49961
193,4,0,0,0,0,3,0,0,0,0,0,49962
435,72,2,0,0,0,1,0,0,0,0,0,49963
455,14,0,0,7,0,7,0,0,0,0,0,49965
303,23,0,0,15,0,3,0,0,0,0,0,49967
1756,143,5,0,14,0,4,0,0,0,0,0,49968
757,3,23,7,3,0,141,37,0,0,0,0,49969
272,5,0,0,0,0,0,0,0,0,0,0,49970
376,18,0,0,6,0,2,0,0,0,0,0,49971
492,3,23,0,0,0,0,0,0,0,0,0,50001
1286,171,0,0,0,0,0,0,0,0,0,0,50002
8159,287,54,0,38,0,63,0,0,0,211,0,50003
592,35,5,0,0,198,13,0,0,0,0,0,50005
1455,26,0,0,0,0,49,0,5,0,10,0,50006
473,4,4,0,0,4,0,0,0,0,1,0,50007
692,63,0,0,0,0,0,0,0,0,0,0,50008
18628,460,681,1,271,10,89,23,0,0,106,17,50009
25357,1197,1052,78,2768,621,29,28,33,0,461,40,50010
