STATE,COUNTYNAME,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic,hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,MUA_County,MUA_State,MUA_count
Minnesota,Lake County,95.925,36.025,95.85000000000001,35.4875,92.225,25.0,61.279999999999994,30.28,91.66666666666667,45.0,100.0,100.0,,,54.1125,42.85,49.14,28.733333333333334,0.0,100.0,54.2875,4.6125,0.0,2.425,22.75,,0.0,4.7125,14972.0,577.0,68.0,13.0,27.0,0.0,57.0,83.0,19.0,0.0,9.0,0.0,,,
Montana,Lake County,92.11875,31.21875,92.45,31.3625,100.0,26.133333333333336,82.68181818181819,20.818181818181817,73.33333333333333,40.550000000000004,50.0,50.0,81.13333333333334,19.22222222222222,45.59375,76.78333333333333,45.09090909090909,45.949999999999996,71.65,67.22222222222223,45.71875,2.74375,0.0,12.28,0.0,0.0,3.7857142857142856,2.7125,26197.0,2912.0,103.0,28.0,93.0,26.0,5709.0,1878.0,53.0,0.0,152.0,95.0,Lake County,Montana,3.0
Ohio,Lake County,92.56666666666666,25.59166666666667,92.99166666666667,25.8,88.925,16.375,93.975,7.3,87.675,55.425000000000004,75.0,25.0,78.07000000000001,9.8,61.85833333333334,59.03333333333333,37.0375,63.916666666666664,80.0,49.13,61.68333333333334,4.091666666666667,13.533333333333333,10.15,1.0363636363636364,0.0,14.0125,4.108333333333333,249265.0,11340.0,16060.0,1065.0,4158.0,109.0,321.0,33.0,24.0,40.0,2039.0,408.0,Lake County,Ohio,5.0
Oregon,Lake County,86.61111111111111,20.744444444444444,87.07777777777778,21.066666666666666,100.0,0.0,88.89999999999999,0.0,98.13333333333333,12.200000000000001,,,82.9,17.1,48.51111111111111,0.0,43.449999999999996,37.733333333333334,,15.9,47.86666666666667,3.1444444444444444,,13.225,0.0,,0.0,3.211111111111111,6250.0,549.0,0.0,0.0,72.0,5.0,145.0,17.0,0.0,0.0,24.0,18.0,Lake County,Oregon,1.0
South Dakota,Lake County,92.71333333333334,27.44,92.82,27.28666666666667,100.0,25.0,85.04285714285713,2.0285714285714285,49.92,0.0,100.0,0.0,82.39999999999999,32.583333333333336,67.89333333333333,87.8,48.957142857142856,67.67999999999999,0.0,60.86666666666667,67.82666666666667,1.96,7.75,8.325,0.0,,20.0,1.9333333333333333,25936.0,1752.0,67.0,23.0,274.0,14.0,170.0,56.0,9.0,6.0,112.0,21.0,,,
Tennessee,Lake County,52.133333333333326,6.7,52.43333333333334,6.8,73.95,6.5,50.0,0.0,100.0,88.9,,,83.6,0.0,28.833333333333332,22.7,50.0,88.9,,50.0,28.633333333333336,3.4,23.05,0.0,0.0,,0.0,3.4333333333333336,3458.0,494.0,803.0,81.0,18.0,0.0,0.0,2.0,0.0,0.0,26.0,0.0,Lake County,Tennessee,1.0
Alaska,Lake and Peninsula Borough,94.74545454545455,56.35454545454545,94.74545454545455,56.35454545454545,100.0,50.0,86.8,5.466666666666666,100.0,0.0,100.0,0.0,100.0,0.0,87.87272727272727,83.33333333333333,52.666666666666664,33.3,50.0,100.0,87.82727272727273,4.645454545454545,0.0,15.933333333333332,0.0,0.0,0.0,4.645454545454545,224.0,34.0,5.0,11.0,0.0,3.0,547.0,352.0,5.0,0.0,1.0,0.0,Lake and Peninsula Borough,Alaska,1.0
Minnesota,Lake of the Woods County,90.23333333333333,15.1,90.2,14.9,0.0,0.0,100.0,0.0,100.0,0.0,,,50.0,0.0,67.7,0.0,12.2,100.0,,50.0,67.56666666666666,2.1,100.0,87.8,0.0,,0.0,2.1,3748.0,151.0,1.0,0.0,3.0,0.0,49.0,0.0,0.0,0.0,0.0,3.0,Lake of the Woods County,Minnesota,1.0
Alabama,Lamar County,84.76666666666667,15.466666666666665,84.65555555555555,15.399999999999999,69.45555555555556,11.422222222222222,79.16666666666667,2.1,77.14,0.0,,,83.325,0.0,50.233333333333334,33.3,71.2,54.94,,57.875,50.3,6.644444444444444,17.0625,0.0,24.740000000000002,,15.825,6.711111111111111,31289.0,3034.0,3516.0,388.0,100.0,16.0,78.0,4.0,7.0,0.0,258.0,114.0,Lamar County,Alabama,1.0
Georgia,Lamar County,88.52000000000001,18.48,88.58,18.490000000000002,79.2,7.58,100.0,33.333333333333336,97.41666666666667,16.983333333333334,,,87.45,19.6,52.17,46.44,60.26666666666667,45.9,,40.9,52.21,5.66,7.529999999999999,0.0,28.7,,45.760000000000005,5.55,57564.0,7311.0,19182.0,3494.0,641.0,133.0,83.0,0.0,0.0,0.0,443.0,235.0,Lamar County,Georgia,1.0
Mississippi,Lamar County,86.89999999999999,26.849999999999998,87.25,27.083333333333332,85.85000000000001,17.3,75.0,25.0,77.11666666666666,39.85,100.0,0.0,50.980000000000004,8.919999999999998,53.25,51.38333333333333,14.025,55.98333333333333,50.0,47.92,53.083333333333336,7.733333333333333,15.433333333333332,24.3,0.7166666666666667,0.0,0.0,7.716666666666666,73412.0,11522.0,35933.0,6604.0,1297.0,98.0,139.0,16.0,24.0,0.0,303.0,258.0,Lamar County,Mississippi,1.0
Texas,Lamar County,84.64999999999999,17.607142857142858,86.97142857142856,18.02142857142857,82.26666666666667,4.783333333333333,83.9,7.769999999999999,95.25,29.5,100.0,0.0,60.300000000000004,8.333333333333334,52.93571428571429,54.73333333333333,41.63,90.825,60.6,67.78333333333333,52.107142857142854,3.7357142857142853,8.854545454545455,3.5625,0.0,0.0,0.0,3.742857142857143,39373.0,7633.0,5735.0,1001.0,304.0,95.0,267.0,63.0,58.0,0.0,257.0,8.0,Lamar County,Texas,1.0
Texas,Lamb County,78.50833333333334,14.816666666666668,90.65833333333335,23.083333333333332,75.47,4.29,96.525,43.75,100.0,46.575,100.0,0.0,37.400000000000006,0.9444444444444444,58.68333333333334,38.6,45.8375,46.739999999999995,100.0,49.455555555555556,54.19166666666666,2.4833333333333334,15.5625,0.0,0.0,0.0,9.775,2.716666666666667,19126.0,5544.0,565.0,134.0,176.0,0.0,156.0,9.0,3.0,0.0,950.0,497.0,Lamb County,Texas,1.0
